	4275	4277	4279	4280	4280a	4281
ENSG00000156050	32	45	40	35	31	7
ENSG00000156052	1115	1218	1141	1450	1271	840
ENSG00000156076	0	0	0	0	0	0
ENSG00000156096	0	0	0	0	0	0
ENSG00000156097	8	4	7	8	13	3
ENSG00000156103	0	0	0	0	1	0
ENSG00000156110	226	243	290	427	488	320
ENSG00000156113	7	1	3	4	15	3
ENSG00000156127	261	377	347	524	558	575
ENSG00000156136	761	958	734	1080	1137	873
ENSG00000156140	1	0	2	2	0	0
ENSG00000156150	0	0	0	0	0	0
ENSG00000156162	355	366	435	369	410	256
ENSG00000156170	211	224	282	263	282	189
ENSG00000156171	1724	1878	1725	1744	1828	1537
ENSG00000156172	43	41	66	52	44	26
ENSG00000156194	6	6	12	7	8	9
ENSG00000156206	19	14	5	5	4	5
ENSG00000156218	0	1	1	1	0	0
ENSG00000156219	0	0	0	0	0	0
ENSG00000156222	4	5	5	2	1	0
ENSG00000156232	7155	8024	9046	7303	6748	5295
ENSG00000156234	0	0	1	0	0	0
ENSG00000156239	17	27	31	60	46	14
ENSG00000156253	24	29	51	60	83	35
ENSG00000156256	2474	2592	3525	2618	2774	2144
ENSG00000156261	2622	2833	4028	4177	4620	2909
ENSG00000156265	2925	3437	885	911	1050	1019
ENSG00000156269	0	0	0	1	1	0
ENSG00000156273	4631	7612	5327	4783	4276	5338
ENSG00000156282	0	0	0	0	0	0
ENSG00000156284	0	0	0	1	0	0
ENSG00000156298	1	1	5	7	7	0
ENSG00000156299	303	414	410	582	507	173
ENSG00000156304	1473	1456	2107	1963	1525	563
ENSG00000156313	1145	1541	1296	1022	977	1041
ENSG00000156345	183	246	194	173	172	93
ENSG00000156374	138	134	150	195	251	137
ENSG00000156381	333	253	331	403	448	545
ENSG00000156384	154	203	124	145	189	211
ENSG00000156395	1	1	3	4	14	1
ENSG00000156398	124	145	157	171	115	69
ENSG00000156411	1058	1383	1052	1205	1680	1449
ENSG00000156413	31	29	15	27	16	8
ENSG00000156414	28	22	26	12	2	35
ENSG00000156427	7	13	20	21	32	20
ENSG00000156453	8	2	43	26	27	14
ENSG00000156463	3	1	7	2	4	6
ENSG00000156466	1	0	0	1	0	2
ENSG00000156467	3214	3196	4206	5425	6553	4732
ENSG00000156469	326	301	351	401	369	286
ENSG00000156471	1466	1709	1976	2217	2204	1064
ENSG00000156475	35	28	179	148	107	68
ENSG00000156482	33169	39177	43563	58550	72558	45473
ENSG00000156486	0	1	0	0	0	0
ENSG00000156500	260	278	232	169	160	143
ENSG00000156502	1349	1077	1798	1915	1812	1074
ENSG00000156504	535	530	669	766	726	483
ENSG00000156508	387555	460112	505583	641843	731019	384946
ENSG00000156509	2	2	1	3	5	5
ENSG00000156510	24	13	16	31	26	5
ENSG00000156515	2164	2362	2196	3216	3037	1204
ENSG00000156521	414	570	531	898	870	347
ENSG00000156531	341	409	445	615	583	229
ENSG00000156535	86	433	277	110	101	160
ENSG00000156564	1	0	2	1	1	2
ENSG00000156574	0	0	0	0	0	0
ENSG00000156575	6	8	3	4	2	10
ENSG00000156587	1483	1770	1180	2146	2020	2546
ENSG00000156599	2105	2856	2276	3403	3004	1575
ENSG00000156603	108	120	157	142	124	169
ENSG00000156639	5156	6992	3442	3782	4037	7195
ENSG00000156642	1206	1778	812	850	850	1393
ENSG00000156650	1023	1047	1318	839	686	631
ENSG00000156671	2211	3005	2161	2480	2405	2333
ENSG00000156675	3449	5011	1975	1944	1623	3302
ENSG00000156687	0	0	0	0	0	0
ENSG00000156689	2	0	0	0	0	1
ENSG00000156697	248	278	364	372	362	153
ENSG00000156709	323	383	418	434	510	192
ENSG00000156711	2262	3630	1836	1730	1486	1737
ENSG00000156735	395	521	539	743	622	365
ENSG00000156738	774	1742	1648	1384	1383	1119
ENSG00000156755	0	0	1	0	0	0
ENSG00000156787	263	240	367	365	318	174
ENSG00000156795	40	32	48	46	45	35
ENSG00000156802	757	853	1157	1126	1119	533
ENSG00000156804	582	499	841	1156	1060	346
ENSG00000156831	330	371	328	568	640	450
ENSG00000156853	482	463	669	399	305	233
ENSG00000156858	2832	3313	2822	3067	3136	3649
ENSG00000156860	17549	25507	13001	12337	11134	16132
ENSG00000156869	16	21	14	25	23	29
ENSG00000156873	781	959	849	855	923	884
ENSG00000156875	93	103	109	105	87	45
ENSG00000156876	146	132	212	171	182	107
ENSG00000156885	0	0	1	0	0	0
ENSG00000156886	46	48	24	7	3	59
ENSG00000156920	1	1	3	0	1	0
ENSG00000156925	0	0	0	0	0	0
ENSG00000156928	306	295	326	326	369	354
ENSG00000156931	2286	2400	971	1114	976	1015
ENSG00000156958	165	207	222	278	272	155
ENSG00000156959	0	0	0	0	0	1
ENSG00000156966	52	70	113	52	65	62
ENSG00000156968	0	0	0	2	1	1
ENSG00000156970	12	12	20	33	28	13
ENSG00000156973	349	454	358	469	498	435
ENSG00000156976	10574	12680	15066	15632	17441	14470
ENSG00000156983	1384	1650	1494	1375	1189	889
ENSG00000156990	76	91	156	195	190	90
ENSG00000157005	0	0	0	0	0	0
ENSG00000157014	921	1387	911	813	832	1272
ENSG00000157017	113	119	94	104	66	105
ENSG00000157020	1696	2057	2036	2274	2203	1725
ENSG00000157021	1	2	0	0	0	0
ENSG00000157036	61	93	185	131	105	39
ENSG00000157045	397	531	386	365	339	557
ENSG00000157060	0	0	0	1	0	0
ENSG00000157064	0	0	0	2	1	0
ENSG00000157077	35	83	102	105	111	26
ENSG00000157087	0	0	2	1	3	0
ENSG00000157093	0	1	0	1	2	0
ENSG00000157103	0	0	0	1	1	0
ENSG00000157106	7094	8590	10557	9910	7573	5922
ENSG00000157107	223	290	187	114	93	315
ENSG00000157110	5	14	5	7	4	10
ENSG00000157111	2	6	4	2	0	3
ENSG00000157119	0	0	0	1	0	0
ENSG00000157131	0	0	0	0	0	0
ENSG00000157150	0	2	1	0	0	0
ENSG00000157152	2	3	0	1	1	2
ENSG00000157168	17	49	18	17	11	32
ENSG00000157181	470	580	758	665	655	420
ENSG00000157184	229	232	205	198	207	213
ENSG00000157191	2492	2879	2092	2998	3426	2363
ENSG00000157193	76	88	226	248	208	67
ENSG00000157211	0	0	0	0	0	0
ENSG00000157212	305	295	446	417	373	224
ENSG00000157214	0	0	2	1	1	0
ENSG00000157216	1053	1831	971	1064	870	890
ENSG00000157219	1	0	0	0	1	0
ENSG00000157224	47	38	37	25	21	32
ENSG00000157227	314	368	353	416	391	324
ENSG00000157240	21	39	22	15	11	10
ENSG00000157259	482	617	627	653	623	515
ENSG00000157303	1117	1164	693	920	904	950
ENSG00000157306	26	20	26	34	26	20
ENSG00000157315	34	30	9	18	22	18
ENSG00000157322	97	57	74	86	116	53
ENSG00000157326	122	118	172	201	244	116
ENSG00000157330	0	0	0	0	0	0
ENSG00000157335	8	16	5	5	7	2
ENSG00000157343	106	60	65	99	73	48
ENSG00000157349	307	356	446	532	575	318
ENSG00000157350	2574	4825	962	880	760	3762
ENSG00000157353	413	631	703	717	709	415
ENSG00000157368	11	7	9	16	25	6
ENSG00000157379	317	363	457	557	599	446
ENSG00000157388	15	18	17	6	4	29
ENSG00000157399	1	0	0	0	1	0
ENSG00000157404	36	55	47	27	40	46
ENSG00000157423	12	5	14	11	11	2
ENSG00000157426	164	202	318	206	210	99
ENSG00000157429	6	15	27	25	15	4
ENSG00000157445	0	7	0	3	0	4
ENSG00000157450	2061	2519	2086	2297	1909	1611
ENSG00000157456	5	5	6	15	15	12
ENSG00000157470	1	0	3	1	2	1
ENSG00000157483	39	71	69	29	46	32
ENSG00000157500	776	1065	1206	1244	1239	666
ENSG00000157502	0	0	0	0	0	0
ENSG00000157510	2	3	1	0	0	0
ENSG00000157514	31953	29181	17693	15567	16700	26183
ENSG00000157538	2007	2216	1915	2405	2390	1455
ENSG00000157540	2883	3665	3566	3488	3157	2724
ENSG00000157542	0	0	0	0	2	0
ENSG00000157551	1352	771	304	974	943	2033
ENSG00000157554	8	22	23	31	26	13
ENSG00000157557	2535	1924	1272	1252	1275	2787
ENSG00000157570	166	288	193	180	125	162
ENSG00000157578	4	7	2	3	4	2
ENSG00000157593	1436	1421	1143	966	995	1096
ENSG00000157600	920	1588	384	280	307	986
ENSG00000157601	1173	2534	1808	3159	3092	1155
ENSG00000157613	0	1	0	0	0	0
ENSG00000157617	268	319	391	339	295	142
ENSG00000157625	1204	1593	1643	1744	1483	1073
ENSG00000157637	486	609	644	683	667	446
ENSG00000157653	9	4	11	11	4	2
ENSG00000157654	0	0	0	0	0	0
ENSG00000157657	9	48	80	33	37	15
ENSG00000157680	0	2	0	4	3	2
ENSG00000157693	485	758	708	644	627	720
ENSG00000157703	0	0	0	3	1	0
ENSG00000157734	14	29	38	28	20	20
ENSG00000157741	914	1394	1534	1528	1198	629
ENSG00000157764	3923	4753	4831	4954	4089	3017
ENSG00000157765	0	0	0	3	0	0
ENSG00000157766	0	1	0	1	1	0
ENSG00000157778	278	344	325	434	499	406
ENSG00000157782	6	7	10	13	11	13
ENSG00000157796	669	735	781	562	511	238
ENSG00000157800	419	561	528	571	580	336
ENSG00000157823	397	540	374	572	571	499
ENSG00000157827	18	20	63	54	31	15
ENSG00000157833	10	27	19	22	23	3
ENSG00000157837	1092	1251	1026	1003	1096	1135
ENSG00000157851	0	0	0	1	1	0
ENSG00000157856	3	11	8	8	16	14
ENSG00000157869	256	393	255	279	263	373
ENSG00000157870	782	1126	557	777	850	527
ENSG00000157873	12581	14288	8594	11582	11331	16670
ENSG00000157881	923	1076	1060	1467	1453	810
ENSG00000157884	0	0	0	0	0	0
ENSG00000157890	0	0	1	1	0	0
ENSG00000157895	209	266	369	353	372	223
ENSG00000157911	85	134	124	155	137	82
ENSG00000157916	777	776	709	787	769	866
ENSG00000157927	3	3	2	1	2	3
ENSG00000157933	4076	5892	4261	3427	2689	2643
ENSG00000157954	2394	3042	2460	2693	2628	3009
ENSG00000157965	0	0	0	0	0	0
ENSG00000157978	763	821	894	1034	1005	270
ENSG00000157985	40	63	152	120	102	54
ENSG00000157992	105	84	129	138	175	91
ENSG00000157999	0	0	0	4	3	0
ENSG00000158006	467	490	992	702	679	592
ENSG00000158008	0	0	0	2	1	0
ENSG00000158014	0	0	0	0	0	0
ENSG00000158019	340	331	373	508	510	420
ENSG00000158022	0	2	0	1	2	1
ENSG00000158023	39	122	52	36	28	53
ENSG00000158042	168	244	247	365	422	210
ENSG00000158050	1049	1616	1454	2079	2598	3463
ENSG00000158055	1	0	0	1	0	1
ENSG00000158062	719	919	676	754	833	676
ENSG00000158077	2	1	4	3	1	0
ENSG00000158079	31	44	57	34	37	16
ENSG00000158089	11	3	2	5	3	0
ENSG00000158092	489	668	667	957	1094	608
ENSG00000158104	10	72	3	7	2	108
ENSG00000158106	499	325	513	595	627	426
ENSG00000158109	1953	2234	1421	1435	1535	1876
ENSG00000158113	11	9	44	25	18	35
ENSG00000158122	335	415	580	436	431	398
ENSG00000158125	0	0	2	0	1	0
ENSG00000158156	351	478	332	155	153	421
ENSG00000158158	468	541	521	346	348	492
ENSG00000158161	859	1010	641	727	675	1051
ENSG00000158163	1	4	5	40	18	9
ENSG00000158164	0	1	0	0	1	0
ENSG00000158169	32	25	31	38	30	20
ENSG00000158186	16	43	24	10	12	23
ENSG00000158195	5115	6232	5362	5979	5257	3201
ENSG00000158201	227	281	262	281	317	413
ENSG00000158220	0	0	0	1	2	0
ENSG00000158234	10	8	17	14	25	6
ENSG00000158246	10	10	3	2	0	6
ENSG00000158258	0	0	0	0	1	1
ENSG00000158270	43	159	85	57	60	77
ENSG00000158286	79	89	159	126	105	33
ENSG00000158290	2095	2097	2158	2616	2577	1295
ENSG00000158292	24	11	207	158	161	93
ENSG00000158296	2	0	2	1	2	2
ENSG00000158301	95	119	102	174	187	42
ENSG00000158315	0	1	0	0	0	0
ENSG00000158321	436	302	927	509	411	338
ENSG00000158352	0	5	0	4	3	2
ENSG00000158373	39	56	65	115	152	99
ENSG00000158402	1	4	2	1	4	1
ENSG00000158406	175	260	199	156	131	178
ENSG00000158411	635	652	638	915	978	1130
ENSG00000158417	1500	1462	2097	2961	2994	1683
ENSG00000158423	28	50	37	22	25	20
ENSG00000158427	18	15	11	27	18	6
ENSG00000158428	4	5	5	7	6	45
ENSG00000158435	597	542	637	626	601	582
ENSG00000158445	1	0	0	2	3	0
ENSG00000158457	381	893	593	410	423	481
ENSG00000158458	4	10	7	9	7	9
ENSG00000158467	110	112	160	140	117	85
ENSG00000158470	3859	8624	5070	5317	4465	5416
ENSG00000158473	115	355	234	167	156	339
ENSG00000158477	1	2	1	0	0	0
ENSG00000158480	764	809	745	420	351	580
ENSG00000158481	5	7	3	3	5	5
ENSG00000158482	11	24	14	15	10	13
ENSG00000158483	22	2	8	6	7	7
ENSG00000158485	0	0	0	0	0	0
ENSG00000158486	0	2	3	3	1	1
ENSG00000158488	0	0	0	0	0	1
ENSG00000158497	0	0	0	0	0	0
ENSG00000158516	0	4	7	2	1	3
ENSG00000158517	4574	7598	1826	2398	2351	11596
ENSG00000158525	0	1	1	3	1	1
ENSG00000158526	1143	1315	1267	1521	1659	1104
ENSG00000158528	3	7	56	13	14	2
ENSG00000158545	1925	2236	2508	2505	2180	1108
ENSG00000158552	804	1012	847	934	1203	1772
ENSG00000158553	0	0	0	0	0	0
ENSG00000158555	425	366	894	906	915	646
ENSG00000158560	0	0	0	1	1	0
ENSG00000158571	8	9	7	7	7	0
ENSG00000158578	1	0	3	9	7	11
ENSG00000158604	2872	3133	3491	3500	3244	2696
ENSG00000158615	12718	18201	9428	9296	8326	14727
ENSG00000158623	27	64	52	38	46	25
ENSG00000158636	679	771	1016	940	791	492
ENSG00000158639	0	0	0	3	2	14
ENSG00000158669	11237	11720	5193	4405	4373	17590
ENSG00000158683	9	6	8	22	15	7
ENSG00000158691	81	79	129	185	165	62
ENSG00000158710	21957	34412	12046	13430	15809	24821
ENSG00000158711	1664	1987	2457	3006	2540	1183
ENSG00000158714	4	1	9	11	3	8
ENSG00000158715	141	362	211	144	172	195
ENSG00000158716	43	70	37	54	72	71
ENSG00000158717	4992	8013	5917	6085	6158	8519
ENSG00000158731	0	0	0	0	0	0
ENSG00000158747	165	159	254	141	197	266
ENSG00000158748	7	1	14	6	7	5
ENSG00000158764	0	0	0	0	2	0
ENSG00000158769	818	1670	519	687	758	1353
ENSG00000158773	6163	8055	6615	8047	8838	7579
ENSG00000158786	0	0	0	0	0	0
ENSG00000158792	258	370	108	141	170	550
ENSG00000158793	477	524	584	620	635	434
ENSG00000158796	1557	1874	1355	1700	1796	1640
ENSG00000158805	2693	3544	3436	3568	3135	2019
ENSG00000158806	6	5	4	3	2	1
ENSG00000158813	20	25	51	57	69	38
ENSG00000158815	5	2	2	6	5	3
ENSG00000158816	0	2	1	4	1	1
ENSG00000158825	1058	1022	267	813	753	1643
ENSG00000158828	1135	1499	855	929	951	1096
ENSG00000158850	1043	1312	1376	1327	1401	1238
ENSG00000158856	84	83	80	77	79	61
ENSG00000158859	3	7	11	15	11	7
ENSG00000158863	2103	2192	3062	3142	2891	1409
ENSG00000158864	1040	1234	1417	1367	1457	1182
ENSG00000158865	9	14	4	14	7	5
ENSG00000158869	5627	6247	1548	3076	3280	6062
ENSG00000158874	1	0	0	0	1	2
ENSG00000158882	571	950	440	492	545	915
ENSG00000158887	104	124	81	101	117	119
ENSG00000158901	0	0	0	0	0	0
ENSG00000158941	5900	6305	7235	6570	6310	4968
ENSG00000158955	0	0	0	0	0	0
ENSG00000158966	38	66	37	33	20	5
ENSG00000158985	8724	13649	9940	10711	10951	14841
ENSG00000158987	804	1053	729	1133	1243	1011
ENSG00000159023	4725	5512	5103	5571	4723	2371
ENSG00000159055	98	133	107	118	144	129
ENSG00000159063	61	78	87	96	67	31
ENSG00000159069	1385	1794	1776	1674	1826	1551
ENSG00000159079	52	43	59	48	55	40
ENSG00000159082	1661	1902	1776	1671	1383	1615
ENSG00000159086	1887	1928	2597	2202	1852	1016
ENSG00000159110	1020	1770	1366	1687	1766	1371
ENSG00000159111	2003	2050	3499	4135	4295	2384
ENSG00000159128	8687	13017	4276	6237	6355	17690
ENSG00000159131	345	368	440	571	570	185
ENSG00000159140	15959	18822	17626	13689	11834	10884
ENSG00000159147	390	350	394	360	330	322
ENSG00000159164	177	241	243	245	224	137
ENSG00000159166	0	1	2	2	0	1
ENSG00000159167	9	22	36	11	15	18
ENSG00000159173	0	0	0	1	0	2
ENSG00000159176	106	154	197	227	258	97
ENSG00000159182	0	0	0	0	0	0
ENSG00000159184	0	0	0	0	0	0
ENSG00000159186	0	0	0	0	0	0
ENSG00000159189	0	1	0	0	0	2
ENSG00000159197	2	3	6	1	4	6
ENSG00000159199	173	199	210	212	268	171
ENSG00000159200	20	28	26	35	30	28
ENSG00000159202	2565	3128	3650	3481	3559	3494
ENSG00000159208	40	32	28	31	48	20
ENSG00000159210	840	1062	990	1148	1330	1390
ENSG00000159212	7	24	17	22	17	12
ENSG00000159214	12	6	11	13	8	12
ENSG00000159216	830	1273	1043	1176	978	912
ENSG00000159217	0	1	0	1	2	1
ENSG00000159224	0	0	0	0	0	0
ENSG00000159228	143	104	92	131	124	86
ENSG00000159231	70	57	53	137	224	39
ENSG00000159239	0	0	1	1	3	0
ENSG00000159247	1	5	8	3	7	5
ENSG00000159248	0	1	1	0	0	0
ENSG00000159251	3	3	1	1	3	0
ENSG00000159256	2346	2859	2792	2724	2611	2265
ENSG00000159259	116	98	118	163	209	75
ENSG00000159261	0	0	0	0	0	1
ENSG00000159263	0	0	0	0	1	0
ENSG00000159267	54	50	141	156	107	35
ENSG00000159289	9	14	14	19	15	8
ENSG00000159307	68	101	50	15	31	48
ENSG00000159314	2269	3216	2373	2622	2586	1840
ENSG00000159322	2285	3075	2745	2897	2878	2932
ENSG00000159335	87	144	156	184	229	200
ENSG00000159337	0	0	0	0	0	0
ENSG00000159339	123	322	90	521	410	234
ENSG00000159346	8644	9713	5467	7136	6981	9932
ENSG00000159348	1035	1360	865	1103	1148	1034
ENSG00000159352	2318	3296	1790	2359	2869	4263
ENSG00000159363	758	874	840	712	733	678
ENSG00000159374	5	4	4	19	7	2
ENSG00000159377	5369	5730	6275	7310	7882	7453
ENSG00000159387	0	0	0	0	1	0
ENSG00000159388	4510	7812	3903	3061	2890	6666
ENSG00000159398	0	0	0	0	0	0
ENSG00000159399	8862	17430	10452	7370	6664	10599
ENSG00000159403	162	230	208	271	289	193
ENSG00000159409	5	2	1	0	1	0
ENSG00000159423	17	35	14	26	22	44
ENSG00000159433	106	157	267	131	107	68
ENSG00000159445	332	368	409	596	485	176
ENSG00000159450	1	1	0	2	1	1
ENSG00000159455	0	0	0	0	0	0
ENSG00000159459	1597	1748	1985	1948	1801	1074
ENSG00000159461	1916	2722	2244	2387	2493	1520
ENSG00000159479	520	729	515	626	779	610
ENSG00000159495	0	1	0	2	0	0
ENSG00000159496	338	538	146	303	316	788
ENSG00000159516	0	0	0	0	0	0
ENSG00000159527	0	0	0	0	0	0
ENSG00000159556	18	50	6	6	14	43
ENSG00000159579	683	858	869	865	808	550
ENSG00000159588	226	203	294	485	417	131
ENSG00000159592	2222	2831	2321	3126	2851	2029
ENSG00000159593	595	605	779	783	871	446
ENSG00000159596	251	295	307	475	590	307
ENSG00000159618	54	119	181	110	131	91
ENSG00000159625	429	671	67	92	95	212
ENSG00000159640	16	22	48	67	62	25
ENSG00000159648	1	9	7	10	16	1
ENSG00000159650	0	1	0	0	1	0
ENSG00000159658	2250	2483	2571	2595	2261	1248
ENSG00000159674	878	392	2353	1295	1354	1230
ENSG00000159685	25	39	32	35	51	26
ENSG00000159692	1545	1721	1709	1993	2030	1645
ENSG00000159708	5	4	1	7	6	4
ENSG00000159712	0	1	0	2	1	0
ENSG00000159713	41	224	21	14	12	78
ENSG00000159714	59	169	34	25	27	175
ENSG00000159720	6056	10623	2734	2987	3230	8792
ENSG00000159723	1	1	1	0	0	2
ENSG00000159733	421	640	1152	1016	959	692
ENSG00000159753	1654	1797	2305	2183	2132	882
ENSG00000159761	60	85	65	103	113	63
ENSG00000159763	0	0	0	0	0	0
ENSG00000159784	11	11	12	8	13	6
ENSG00000159788	84	254	152	161	124	73
ENSG00000159792	384	487	446	532	484	349
ENSG00000159840	9362	10821	6497	8494	7881	11998
ENSG00000159842	2127	2862	2714	2235	1993	1310
ENSG00000159860	144	107	138	204	160	47
ENSG00000159871	1	0	0	0	1	0
ENSG00000159873	674	735	1040	936	997	812
ENSG00000159882	271	280	151	210	220	270
ENSG00000159884	522	787	689	840	984	942
ENSG00000159885	123	141	84	98	132	127
ENSG00000159899	50	44	70	94	70	34
ENSG00000159904	24	14	16	23	19	9
ENSG00000159905	3	0	0	1	1	0
ENSG00000159915	13	8	9	6	15	2
ENSG00000159917	55	42	73	65	65	25
ENSG00000159921	576	735	733	639	592	483
ENSG00000159958	604	788	1433	1145	1036	462
ENSG00000159961	0	0	0	0	0	0
ENSG00000160007	870	1214	1232	868	722	475
ENSG00000160013	105	335	41	33	31	357
ENSG00000160014	3836	5483	2587	3159	2866	4056
ENSG00000160049	368	414	578	603	577	246
ENSG00000160050	68	106	74	105	93	109
ENSG00000160051	87	133	111	70	88	59
ENSG00000160055	242	367	173	193	212	394
ENSG00000160058	2207	2593	2770	3005	2803	1568
ENSG00000160062	4	9	3	3	2	5
ENSG00000160072	1053	1268	1928	1771	1970	1363
ENSG00000160075	3133	3887	2699	3297	3611	3341
ENSG00000160087	822	1041	885	962	1107	1057
ENSG00000160094	639	641	628	600	545	250
ENSG00000160097	0	0	1	0	0	0
ENSG00000160111	13	13	12	20	27	10
ENSG00000160113	67	86	18	33	29	29
ENSG00000160117	227	259	180	146	181	165
ENSG00000160124	66	52	61	109	105	29
ENSG00000160131	409	453	381	382	421	292
ENSG00000160145	6	15	4	22	14	13
ENSG00000160161	57	49	59	59	48	34
ENSG00000160172	7	11	3	17	8	4
ENSG00000160179	574	590	295	317	275	190
ENSG00000160180	2	4	1	11	13	2
ENSG00000160181	0	0	0	0	0	0
ENSG00000160182	1	1	0	0	0	0
ENSG00000160183	71	38	85	90	98	50
ENSG00000160185	918	882	1130	1867	1848	567
ENSG00000160188	17	43	30	23	17	16
ENSG00000160190	763	1110	1129	1039	924	552
ENSG00000160191	177	177	201	241	203	248
ENSG00000160193	32	38	64	55	58	28
ENSG00000160194	255	311	334	464	453	216
ENSG00000160199	259	317	351	392	331	296
ENSG00000160200	1	5	4	9	5	1
ENSG00000160201	718	154	627	624	703	546
ENSG00000160202	0	0	1	0	0	0
ENSG00000160207	4	8	8	8	7	2
ENSG00000160208	669	806	947	951	926	335
ENSG00000160209	1328	1879	1206	1370	1327	1426
ENSG00000160211	567	790	765	844	776	841
ENSG00000160213	1214	1295	872	1148	1258	1897
ENSG00000160214	124	181	183	174	199	134
ENSG00000160216	908	1276	1295	1346	1203	562
ENSG00000160218	2624	3293	3831	2746	2238	1135
ENSG00000160219	279	366	698	548	473	382
ENSG00000160221	49	45	68	93	78	37
ENSG00000160223	616	1313	410	366	289	749
ENSG00000160224	2	2	3	5	2	2
ENSG00000160226	662	794	1072	1006	1030	995
ENSG00000160229	24	24	24	42	37	20
ENSG00000160233	30	23	9	15	14	23
ENSG00000160255	8690	18958	6340	8140	8142	16464
ENSG00000160256	74	98	101	150	156	110
ENSG00000160271	21246	24248	14203	18208	16604	20751
ENSG00000160282	6	1	4	9	6	1
ENSG00000160284	52	57	28	55	62	39
ENSG00000160285	484	401	467	379	292	321
ENSG00000160293	165	496	343	224	244	184
ENSG00000160294	2957	3686	4163	4269	3741	1733
ENSG00000160298	34	32	53	34	31	18
ENSG00000160299	828	824	1169	966	840	463
ENSG00000160305	2494	2035	3567	2571	2129	1246
ENSG00000160307	13	27	29	24	17	19
ENSG00000160310	3397	3508	3070	3545	3341	1945
ENSG00000160318	29	44	83	87	59	78
ENSG00000160321	2	14	17	28	23	2
ENSG00000160323	18	19	38	25	31	10
ENSG00000160325	142	533	86	76	87	323
ENSG00000160326	423	1853	544	622	644	1235
ENSG00000160336	179	223	269	276	309	115
ENSG00000160339	0	0	1	2	1	0
ENSG00000160345	32	28	38	37	41	29
ENSG00000160349	0	0	0	0	0	0
ENSG00000160352	257	156	212	158	145	60
ENSG00000160360	113	145	149	106	122	92
ENSG00000160392	285	433	280	448	435	370
ENSG00000160396	1	7	4	1	4	0
ENSG00000160401	3	3	5	7	9	9
ENSG00000160404	526	796	393	254	251	534
ENSG00000160408	1894	2380	2271	2526	2540	1626
ENSG00000160410	7452	9355	3358	3440	3349	9700
ENSG00000160439	137	119	214	197	149	79
ENSG00000160445	3040	3868	2806	2316	2153	2784
ENSG00000160446	409	461	375	357	423	549
ENSG00000160447	21	37	74	79	69	57
ENSG00000160460	153	200	238	207	192	215
ENSG00000160469	54	105	47	27	24	37
ENSG00000160471	0	1	5	2	0	0
ENSG00000160472	0	0	1	1	1	1
ENSG00000160505	2	3	0	4	1	0
ENSG00000160539	2	0	3	1	0	2
ENSG00000160551	2832	3753	3643	3295	2611	1948
ENSG00000160563	295	407	383	446	465	272
ENSG00000160570	6290	9462	3524	3689	3953	8280
ENSG00000160584	4290	5718	4983	4501	3724	3516
ENSG00000160588	902	1564	1126	1257	1355	1414
ENSG00000160593	870	1873	1009	955	894	1282
ENSG00000160602	54	77	124	88	90	75
ENSG00000160606	6	12	11	14	7	12
ENSG00000160613	7342	4681	7665	7710	6481	3707
ENSG00000160633	3783	4449	4489	6211	6250	4542
ENSG00000160654	696	688	713	875	843	538
ENSG00000160678	0	1	0	2	0	0
ENSG00000160679	2077	2488	2281	2687	2763	1849
ENSG00000160683	1033	1681	1341	969	978	664
ENSG00000160685	2927	4796	1597	2010	1913	3468
ENSG00000160688	626	687	802	962	993	497
ENSG00000160691	2308	3042	3280	3366	3104	2616
ENSG00000160695	2016	2009	2482	2495	2289	1112
ENSG00000160703	224	261	290	277	287	188
ENSG00000160710	9725	12644	12072	11988	9899	7083
ENSG00000160712	3209	6499	1508	1294	1242	3009
ENSG00000160714	2643	2587	3085	2310	2300	2331
ENSG00000160716	0	1	1	2	2	0
ENSG00000160741	18215	20591	13428	14880	13805	19381
ENSG00000160746	155	211	56	218	212	172
ENSG00000160752	1028	1053	1254	1338	1532	1466
ENSG00000160753	158	200	268	265	301	238
ENSG00000160766	13	13	27	19	17	6
ENSG00000160767	287	299	263	307	283	268
ENSG00000160781	100	130	134	204	185	100
ENSG00000160783	158	180	181	183	193	247
ENSG00000160785	1711	2230	1254	1149	1064	1301
ENSG00000160789	3349	7781	5696	3536	4314	4089
ENSG00000160791	18	53	65	63	54	33
ENSG00000160796	16088	34282	14775	14356	12782	22222
ENSG00000160799	501	691	783	1000	1097	1037
ENSG00000160801	0	0	0	2	1	0
ENSG00000160803	414	584	552	567	491	314
ENSG00000160808	0	0	0	2	0	0
ENSG00000160813	883	1138	851	1353	1601	1731
ENSG00000160818	220	201	300	346	342	187
ENSG00000160838	1	0	0	0	0	0
ENSG00000160856	45	65	206	238	203	145
ENSG00000160862	0	0	0	0	0	0
ENSG00000160867	220	197	280	279	275	163
ENSG00000160868	3	1	2	4	5	5
ENSG00000160870	0	0	0	0	0	1
ENSG00000160877	590	794	932	780	737	476
ENSG00000160882	0	1	0	0	0	0
ENSG00000160883	48	208	69	226	287	169
ENSG00000160886	12	61	18	31	31	66
ENSG00000160888	9327	13287	7383	10568	11446	19366
ENSG00000160908	3294	3876	3161	3321	3579	3841
ENSG00000160917	454	579	684	721	679	589
ENSG00000160932	824	1538	1381	2244	2521	1148
ENSG00000160948	3369	3764	3549	4222	4829	4353
ENSG00000160949	23	11	21	19	29	13
ENSG00000160951	2	1	2	1	0	1
ENSG00000160953	202	453	346	188	160	191
ENSG00000160957	11	27	33	47	29	25
